play_team,games,rim_rate,rim_pct,mid_rate,mid_pct,arc_rate,arc_pct,opp_rim_rate,opp_rim_pct,opp_mid_rate,opp_mid_pct,opp_arc_rate,opp_arc_pct
McNeese Cowboys,14,61.2,70.1,27.4,36.8,11.4,30.6,52.2,63.6,29.2,35.3,18.6,32.4
Memphis Tigers,14,57.6,66.4,27.9,33.9,14.5,32.7,54.9,69.0,28.2,33.7,16.9,28.9
Mercer Bears,16,51.9,69.0,32.4,39.6,15.7,30.0,51.8,63.8,32.6,35.6,15.6,33.0
Mercyhurst Lakers,15,52.0,61.3,33.6,38.4,14.5,34.4,62.5,64.9,22.5,33.9,15.0,34.8
Merrimack Warriors,16,56.1,66.3,25.8,31.1,18.0,31.8,63.4,62.9,24.9,37.6,11.8,31.7
Miami (OH) RedHawks,15,56.7,75.8,27.7,42.5,15.6,40.2,53.1,67.4,35.0,33.2,11.9,37.3
Miami Hurricanes,15,66.1,68.4,22.6,37.3,11.2,39.0,50.6,61.2,33.4,35.3,15.9,36.7
Michigan St. Spartans,15,52.8,69.1,34.6,40.6,12.6,36.9,48.1,63.1,35.3,34.9,16.6,29.6
Michigan Wolverines,14,59.4,74.8,17.0,44.6,23.6,38.7,46.1,58.7,34.7,32.9,19.3,26.0
Mid-Atlantic Christian Mustangs,3,43.1,67.8,45.9,26.0,11.0,13.0,57.1,82.5,25.4,52.5,17.5,35.7
Middle Tennessee Blue Raiders,13,45.6,67.6,36.5,37.8,17.8,35.8,58.7,65.8,30.2,35.9,11.1,27.8
Midway University Eagles,4,45.0,62.4,34.2,36.0,20.8,38.9,60.3,72.5,27.1,57.0,12.5,39.5
Milwaukee Panthers,16,54.5,63.9,29.9,36.9,15.6,33.2,60.8,68.6,24.4,34.7,14.9,43.2
Minnesota Golden Gophers,15,62.4,68.5,25.7,37.8,11.9,24.8,53.6,63.6,34.1,36.6,12.4,29.8
Mississippi St. Bulldogs,14,53.6,69.2,30.7,36.9,15.7,30.9,49.0,68.2,35.1,33.3,15.9,31.4
Mississippi Valley St. Delta Devils,16,48.3,69.0,36.8,36.5,14.9,26.5,58.5,72.4,21.1,42.6,20.4,35.8
Missouri St. Bears,15,57.0,70.0,28.3,34.0,14.7,31.5,52.3,68.0,33.2,37.2,14.5,31.1
Missouri Tigers,15,65.3,67.2,21.1,39.2,13.6,35.4,51.5,63.0,31.2,36.4,17.3,36.7
Monmouth Hawks,15,60.9,63.0,25.8,40.1,13.3,34.2,56.1,61.9,28.4,37.3,15.5,36.4
Montana Grizzlies,14,60.1,69.6,23.1,44.1,16.8,33.7,55.7,64.7,31.8,34.0,12.6,32.9
